
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         17.74
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         11.11
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         19.44
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            24.110  ,   CMU Walls - Blockfiller        ,         11.35
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          4.26
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.11
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .48
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         42.31
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            50.600  ,   Caulking Windows & Doors       ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            50.700  ,   Windows                        ,         24.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            80.110  ,   Touch Up Allowance             ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 03      , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.11
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 03      , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 03      , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 03      , Floor 03                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 03      , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .48
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 03      , Floor 03                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         42.31
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 03      , Floor 03                               ,            50.600  ,   Caulking Windows & Doors       ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 03      , Floor 03                               ,            50.700  ,   Windows                        ,         24.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 03      , Floor 03                               ,            80.110  ,   Touch Up Allowance             ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.11
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .48
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         42.31
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            50.600  ,   Caulking Windows & Doors       ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            50.700  ,   Windows                        ,         24.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            80.110  ,   Touch Up Allowance             ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.11
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .48
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         42.31
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            50.600  ,   Caulking Windows & Doors       ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            50.700  ,   Windows                        ,         24.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            80.110  ,   Touch Up Allowance             ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 06      , Floor 6                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.11
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 06      , Floor 6                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 06      , Floor 6                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 06      , Floor 6                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 06      , Floor 6                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .48
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 06      , Floor 6                                ,            34.120  ,   Trim - 2nd Coat Finish         ,         42.31
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 06      , Floor 6                                ,            50.600  ,   Caulking Windows & Doors       ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 06      , Floor 6                                ,            50.700  ,   Windows                        ,         24.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 06      , Floor 6                                ,            80.110  ,   Touch Up Allowance             ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.11
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .48
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         42.31
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            50.600  ,   Caulking Windows & Doors       ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            50.700  ,   Windows                        ,         24.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            80.110  ,   Touch Up Allowance             ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.11

NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .48
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         42.31
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            50.600  ,   Caulking Windows & Doors       ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            50.700  ,   Windows                        ,         24.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            80.110  ,   Touch Up Allowance             ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.11
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .48
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         42.31
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            50.600  ,   Caulking Windows & Doors       ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            50.700  ,   Windows                        ,         24.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            80.110  ,   Touch Up Allowance             ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.11
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         46.62
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         16.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .48
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         42.31
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            50.600  ,   Caulking Windows & Doors       ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            50.700  ,   Windows                        ,         24.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            80.110  ,   Touch Up Allowance             ,          9.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   FL 11      , FLOOR 11                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         23.12
