
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,       1500.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,              ,                                        ,            80.800  ,   Contingency - Original         ,        500.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          9.54
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          8.17
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         14.31
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            21.140  ,   Walls - 4th Coat Finish        ,         14.31
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            21.150  ,   Walls - 5th Coat Finish        ,         14.31
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         11.39
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         22.32
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            26.110  ,   Floor Sealer                   ,           .20
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 01      , Floor 01                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         53.07
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         41.97
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         73.45
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            21.140  ,   Walls - 4th Coat Finish        ,         73.45
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            21.150  ,   Walls - 5th Coat Finish        ,         73.45
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 02      , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          8.71
