NL:041.21.1,,01,=,01,=,TI01,Ticket Work,20.300,Ticket Work,24.00
NL:061.21.3,,01,=,01,=,BI01,BIRCH,20.110,Walls/DW Ceiling - Prime,15.43
NL:061.21.3,,01,=,01,=,BI01,BIRCH,21.120,Walls - 2nd Coat Finish,10.49
NL:061.21.3,,01,=,01,=,BI01,BIRCH,21.130,Walls - 3rd Coat Finish,10.49
NL:061.21.3,,01,=,01,=,BI01,BIRCH,22.120,DW Ceiling - 2nd & 3rd Finish,19.78
NL:061.21.3,,01,=,01,=,BI01,BIRCH,28.110,Doors/Frames 1st/2nd Coat,29.33
NL:061.21.3,,01,=,01,=,BI01,BIRCH,29.500,Interior Windows,41.33
NL:061.21.3,,01,=,01,=,BI01,BIRCH,34.110,Trim - 1st Coat Prime,20.96
NL:061.21.3,,01,=,01,=,MU01,MULBERRY,20.110,Walls/DW Ceiling - Prime,4.10
NL:061.21.3,,01,=,01,=,MU01,MULBERRY,21.120,Walls - 2nd Coat Finish,2.71
NL:061.21.3,,01,=,01,=,MU01,MULBERRY,21.130,Walls - 3rd Coat Finish,2.71
NL:061.21.3,,01,=,01,=,MU01,MULBERRY,22.120,DW Ceiling - 2nd & 3rd Finish,4.17
NL:061.21.3,,01,=,01,=,MU01,MULBERRY,28.110,Doors/Frames 1st/2nd Coat,4.00
NL:061.21.3,,01,=,01,=,MU01,MULBERRY,29.500,Interior Windows,14.67
NL:061.21.3,,01,=,01,=,MU01,MULBERRY,34.110,Trim - 1st Coat Prime,5.08
NL:061.21.3,,01,=,01,=,RO01,ROSEBUD,20.110,Walls/DW Ceiling - Prime,6.38
NL:061.21.3,,01,=,01,=,RO01,ROSEBUD,21.120,Walls - 2nd Coat Finish,4.27
NL:061.21.3,,01,=,01,=,RO01,ROSEBUD,21.130,Walls - 3rd Coat Finish,4.27
NL:061.21.3,,01,=,01,=,RO01,ROSEBUD,22.120,DW Ceiling - 2nd & 3rd Finish,8.43
NL:061.21.3,,01,=,01,=,RO01,ROSEBUD,28.110,Doors/Frames 1st/2nd Coat,10.67
NL:061.21.3,,01,=,01,=,RO01,ROSEBUD,29.500,Interior Windows,12.00
NL:061.21.3,,01,=,01,=,RO01,ROSEBUD,34.110,Trim - 1st Coat Prime,10.68
