NL:026.20.3,,01,=,01,=,TI01,Ticket Work,20.300,Ticket Work,64.00
NL:046.17.8,,01,=,01,=,BASE,Base Job,20.110,Walls/DW Ceiling - Prime,1.00
NL:046.17.8,,01,=,01,=,BASE,Base Job,21.120,Walls - 2nd Coat Finish,1.00
NL:046.17.8,,01,=,01,=,BASE,Base Job,21.130,Walls - 3rd Coat Finish,1.00
NL:046.17.8,,01,=,01,=,BASE,Base Job,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
NL:047.21.1,,01,=,01,=,BASE,Base Job,20.110,Walls/DW Ceiling - Prime,1.00
NL:047.21.1,,01,=,01,=,BASE,Base Job,21.120,Walls - 2nd Coat Finish,1.00
NL:047.21.1,,01,=,01,=,BASE,Base Job,21.130,Walls - 3rd Coat Finish,1.00
NL:047.21.1,,01,=,01,=,BASE,Base Job,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
NL:056.21.3,,01,=,01,=,BASE,Base Job,20.110,Walls/DW Ceiling - Prime,1.00
NL:056.21.3,,01,=,01,=,BASE,Base Job,21.120,Walls - 2nd Coat Finish,1.00
NL:056.21.3,,01,=,01,=,BASE,Base Job,21.130,Walls - 3rd Coat Finish,1.00
NL:056.21.3,,01,=,01,=,BASE,Base Job,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
NL:057.21.1,,01,=,01,=,BASE,Base Job,20.110,Walls/DW Ceiling - Prime,1.00
NL:057.21.1,,01,=,01,=,BASE,Base Job,21.120,Walls - 2nd Coat Finish,1.00
NL:057.21.1,,01,=,01,=,BASE,Base Job,21.130,Walls - 3rd Coat Finish,1.00
NL:057.21.1,,01,=,01,=,BASE,Base Job,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
NL:059.21.2,,01,=,01,=,BASE,Base,20.110,Walls/DW Ceiling - Prime,1.00
NL:059.21.2,,01,=,01,=,BASE,Base,21.120,Walls - 2nd Coat Finish,1.00
NL:059.21.2,,01,=,01,=,BASE,Base,21.130,Walls - 3rd Coat Finish,1.00
NL:059.21.2,,01,=,01,=,BASE,Base,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
NL:060.21.3,,01,=,01,=,BASE,Base Job,20.110,Walls/DW Ceiling - Prime,1.00
NL:060.21.3,,01,=,01,=,BASE,Base Job,21.120,Walls - 2nd Coat Finish,1.00
NL:060.21.3,,01,=,01,=,BASE,Base Job,21.130,Walls - 3rd Coat Finish,1.00
NL:060.21.3,,01,=,01,=,BASE,Base Job,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
NL:062.21.3,,01,=,01,=,BASE,Base Job,20.110,Walls/DW Ceiling - Prime,1.00
NL:062.21.3,,01,=,01,=,BASE,Base Job,21.120,Walls - 2nd Coat Finish,1.00
NL:062.21.3,,01,=,01,=,BASE,Base Job,21.130,Walls - 3rd Coat Finish,1.00
NL:062.21.3,,01,=,01,=,BASE,Base Job,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
NL:064.21.1,,01,=,01,=,BASE,Base Job,20.110,Walls/DW Ceiling - Prime,1.00
NL:064.21.1,,01,=,01,=,BASE,Base Job,21.120,Walls - 2nd Coat Finish,1.00
NL:064.21.1,,01,=,01,=,BASE,Base Job,21.130,Walls - 3rd Coat Finish,1.00
NL:064.21.1,,01,=,01,=,BASE,Base Job,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
NL:065.21.3,,01,=,01,=,BASE,Base Job,20.110,Walls/DW Ceiling - Prime,1.00
NL:065.21.3,,01,=,01,=,BASE,Base Job,21.120,Walls - 2nd Coat Finish,1.00
NL:065.21.3,,01,=,01,=,BASE,Base Job,21.130,Walls - 3rd Coat Finish,1.00
NL:065.21.3,,01,=,01,=,BASE,Base Job,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
NL:066.21.1,,01,=,01,=,BASE,Base Job,20.110,Walls/DW Ceiling - Prime,1.00
NL:066.21.1,,01,=,01,=,BASE,Base Job,21.120,Walls - 2nd Coat Finish,1.00
NL:066.21.1,,01,=,01,=,BASE,Base Job,21.130,Walls - 3rd Coat Finish,1.00
NL:066.21.1,,01,=,01,=,BASE,Base Job,22.125,Exp Ceiling - 1st/2nd Dryfall,1.00
