
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         80.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         33.12
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         36.53
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         36.53
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          9.76
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         13.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         59.27
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         60.39
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.39
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         27.40
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          7.10
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         23.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         47.72
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         47.15
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         47.15
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         24.99
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         12.92
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL04       , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         45.25
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         44.50
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         44.50
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL04       , Floor 04                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         24.14
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL04       , Floor 04                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         13.64
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL04       , Floor 04                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         13.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL05       , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         50.21
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         50.43
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         50.43
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         24.67
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         12.92
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL05       , Floor 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         16.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL06       , Floor 06                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         47.96
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         47.49
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         47.49
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         24.94
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         13.10
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL06       , Floor 06                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL07       , Floor 07                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         39.38
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         37.16
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         37.16
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL07       , Floor 07                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         24.12
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL07       , Floor 07                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          7.02
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL07       , Floor 07                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         16.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL08       , Floor 08                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         54.49
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL08       , Floor 08                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         55.69
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL08       , Floor 08                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         55.69
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL08       , Floor 08                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         24.85
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL08       , Floor 08                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          7.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL08       , Floor 08                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         25.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL09       , Floor 09                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         27.01
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL09       , Floor 09                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         26.77
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL09       , Floor 09                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         26.77
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL09       , Floor 09                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         13.99
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   FL09       , Floor 09                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         12.00
NL:      023.20.1  ,  250 M Street                                       ,01, =    , 01, = ,   MIS        , CAULKING                               ,            80.800  ,   Contingency - Original         ,        484.00
