NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        977.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,              ,                                        ,            80.120  ,   PWT Only Punchlilst            ,        550.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 01     , East Floor 01                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         59.52
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 01     , East Floor 01                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         43.73
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 01     , East Floor 01                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         54.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 01     , East Floor 01                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         31.22
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 01     , East Floor 01                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         42.47
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 01     , East Floor 01                          ,            60.200  ,   Sizing                         ,           .91
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         45.63
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.76
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         45.61
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          7.90
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         80.01
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 02     , East Floor 02                          ,            60.200  ,   Sizing                         ,          4.44
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         42.20
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         42.50
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         36.57
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          9.58
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         65.28
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 03     , East Floor 03                          ,            60.200  ,   Sizing                         ,          4.44
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 04     , East Floor 04                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         57.11
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 04     , East Floor 04                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         58.47
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 04     , East Floor 04                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         58.17
