NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   EXT        , Exterior                               ,            40.600  ,   Lintels                        ,         48.00
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   EXT        , Exterior                               ,            50.500  ,   AESS Steel                     ,         56.60
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        146.79
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         80.33
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         80.33
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         52.18
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            24.110  ,   CMU Walls - Blockfiller        ,         17.91
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.00
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         57.43
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         57.88
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         57.88
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         27.58
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          5.00
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   MIS        , Miscellaneous/Stair                          ,            40.300  ,   Steel Railings                 ,         56.60
NL:      027.20.1  ,  Two Rivers PCS MS Expansion                        ,01, =    , 01, = ,   MIS        , Miscellaneous/Stair                          ,            50.800  ,   Stair Metal                    ,         48.00
