
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         32.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         32.89
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         37.18
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         35.32
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          1.50
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         18.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         29.18
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            30.120  ,   Special Coating - Interm Coat  ,          2.31
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            50.800  ,   Stair Metal                    ,         16.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            80.800  ,   Contingency - Original         ,          8.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   1st        , 1st Floor                              ,            80.810  ,   Contingency - Allocated        ,          8.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         96.18
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        107.68
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        102.30
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          9.10
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          3.65
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         79.04
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            30.120  ,   Special Coating - Interm Coat  ,         20.02
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            50.800  ,   Stair Metal                    ,         16.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            80.800  ,   Contingency - Original         ,         34.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            80.810  ,   Contingency - Allocated        ,          2.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      013.23.1  ,  DGS MPD                                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
