
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            10.120  ,   Bonds                          ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            10.430  ,   Lifts & Hoists                 ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            26.110  ,   Floor Sealer                   ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            80.110  ,   Touch Up Allowance             ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            80.120  ,   PWT Only Punchlilst            ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            80.800  ,   Contingency - Original         ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            26.110  ,   Floor Sealer                   ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            29.600  ,   Interior Windows - Caulking    ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            30.130  ,   Special Coating - Finish Coat  ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            60.200  ,   Sizing                         ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            60.500  ,   Wallcovering                   ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            80.800  ,   Contingency - Original         ,          1.00
NL:      034.22.1  ,  DGS OPC/TI                                         ,01, =    , 01, = ,   FL01       , Floor 01                               ,            80.801  ,   Mop/Clean Flrs To Be Sealed    ,          1.00
