
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        604.60
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A04        , ALL-WC-Primer/sizing                   ,            50.300  ,   Pipe Bollards/Corner Guards    ,         11.00
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A04        , ALL-WC-Primer/sizing                   ,            60.200  ,   Sizing                         ,         14.44
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A06        , BOND                                   ,            20.110  ,   Walls/DW Ceiling - Prime       ,        195.10
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A06        , BOND                                   ,            21.120  ,   Walls - 2nd Coat Finish        ,        158.94
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A06        , BOND                                   ,            21.130  ,   Walls - 3rd Coat Finish        ,        227.05
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A06        , BOND                                   ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         75.18
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A06        , BOND                                   ,            26.110  ,   Floor Sealer                   ,         10.73
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A06        , BOND                                   ,            28.100  ,   Prep. Frames and Doors         ,         68.41
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A06        , BOND                                   ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        133.79
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A08        , LEVEL-1                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,        600.35
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A08        , LEVEL-1                                ,            21.120  ,   Walls - 2nd Coat Finish        ,        548.19
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A08        , LEVEL-1                                ,            21.130  ,   Walls - 3rd Coat Finish        ,        783.13
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A08        , LEVEL-1                                ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        172.23
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A08        , LEVEL-1                                ,            26.110  ,   Floor Sealer                   ,         13.25
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A08        , LEVEL-1                                ,            28.100  ,   Prep. Frames and Doors         ,        291.59
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A08        , LEVEL-1                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        570.26
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A08        , LEVEL-1                                ,            40.300  ,   Steel Railings                 ,          2.61
