NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A3,Exterior,90.100,Miscellaneous Various not in others, 43.94 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A4,Sealer and Epoxy Floors,26.110,Floor Sealer, 8.58 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A4,Sealer and Epoxy Floors,26.130,Apply Epoxy, 1.53 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,20.110,DW Ceiling/Walls Prime Coat, 62.46 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,21.120,DW Walls/Columns 1st. Finish Coat, 68.61 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,21.130,DW Walls/Columns 2nd.Finish Coat, 98.01 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,22.120,DW Ceilings 1st.and 2nd.Finish Coat, 6.35 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,22.125,Exp.Celing 1st. And 2nd. Dryfall coat, 53.54 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,22.126,Exp.Ceiling Protection, 22.31 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,24.110,Block Fill 1st.Coat CMU Walls, 81.25 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,24.120,1st. Finish Coat CMU Walls, 23.21 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,24.130,2nd.Finish Coat CMU Walls, 40.63 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,28.100,Prep. Trim/D.Frames/Doors, 44.13 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,28.110,1st.and 2nd.Finish Coat Trim/Frames/Doors, 44.13 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A5,Level-0,90.100,Miscellaneous Various not in others, 38.21 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A6,Level-1,20.110,DW Ceiling/Walls Prime Coat, 34.51 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A6,Level-1,21.120,DW Walls/Columns 1st. Finish Coat, 36.91 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A6,Level-1,21.130,DW Walls/Columns 2nd.Finish Coat, 52.73 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A6,Level-1,22.120,DW Ceilings 1st.and 2nd.Finish Coat, 4.49 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A6,Level-1,28.100,Prep. Trim/D.Frames/Doors, 31.23 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A6,Level-1,28.110,1st.and 2nd.Finish Coat Trim/Frames/Doors, 31.23 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A6,Level-1,90.100,Miscellaneous Various not in others, 27.04 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A7,Level-2,20.110,DW Ceiling/Walls Prime Coat, 28.25 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,03,Building c,A7,Level-2,21.120,DW Walls/Columns 1st. Finish Coat, 30.22 
