
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,         92.31
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area A     , A                                      ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        126.92
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area A     , A                                      ,            24.110  ,   CMU Walls - Blockfiller        ,         66.35
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area A     , A                                      ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         52.53
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area A     , A                                      ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         42.02
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area A     , A                                      ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          5.26
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area A     , A                                      ,            50.300  ,   Pipe Bollards/Corner Guards    ,          6.75
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area A     , A                                      ,            50.900  ,   Elevator Door & Frame          ,         24.00
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            20.110  ,   Walls/DW Ceiling - Prime       ,         79.30
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            21.120  ,   Walls - 2nd Coat Finish        ,         68.73
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            21.130  ,   Walls - 3rd Coat Finish        ,         73.63
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        173.78
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            24.110  ,   CMU Walls - Blockfiller        ,        218.39
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,        172.90
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,        138.32
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            28.120  ,   Doors Only - 1st/2nd Coat      ,         34.89
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         49.43
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            50.200  ,   Red Sprinkler Pipe             ,        135.38
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            50.300  ,   Pipe Bollards/Corner Guards    ,          4.25
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            50.800  ,   Stair Metal                    ,         10.00
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Area B     , B                                      ,            50.900  ,   Elevator Door & Frame          ,         18.00
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Exterior   , Ext                                    ,            29.900  ,   Lintels                        ,         11.76
NL:      047.22.3  ,  Maintenance & Supply Facility                      ,01, =    , 01, = ,   Exterior   , Ext                                    ,            40.400  ,   Exterior Steel                 ,         20.00
