NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         93.43
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         72.50
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         72.50
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         68.56
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         88.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            28.130  ,   Frames Only - 1st/2nd Coat     ,          2.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            34.110  ,   Trim - 1st Coat Prime          ,         44.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            34.120  ,   Trim - 2nd Coat Finish         ,         18.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            50.400  ,   Concrete Columns               ,         10.50
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN06       , Floors 6 Units                         ,            50.600  ,   Caulking Windows & Doors       ,         11.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         93.43
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         72.50
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         72.50
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         68.56
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         88.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            28.130  ,   Frames Only - 1st/2nd Coat     ,          2.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            34.110  ,   Trim - 1st Coat Prime          ,         44.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            34.120  ,   Trim - 2nd Coat Finish         ,         18.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            50.400  ,   Concrete Columns               ,         10.50
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , UNI, = ,   UN07       , Floors 7 Units                         ,            50.600  ,   Caulking Windows & Doors       ,         11.67
