
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMA       , Basement A                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         33.17
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMA       , Basement A                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         24.85
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMA       , Basement A                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         24.85
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMA       , Basement A                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         87.35
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMA       , Basement A                             ,            24.110  ,   CMU Walls - Blockfiller        ,         28.13
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMA       , Basement A                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          4.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMB       , BASEMENT B                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         24.02
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMB       , BASEMENT B                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         12.94
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMB       , BASEMENT B                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         12.94
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMB       , BASEMENT B                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         56.91
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMB       , BASEMENT B                             ,            24.110  ,   CMU Walls - Blockfiller        ,          2.97
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   BSMB       , BASEMENT B                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          3.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   EX01       , EXTERIOR                               ,            40.600  ,   Lintels                        ,        217.14
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL01       , Floor 01  A                            ,            20.110  ,   Walls/DW Ceiling - Prime       ,         86.59
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL01       , Floor 01  A                            ,            21.120  ,   Walls - 2nd Coat Finish        ,         79.13
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL01       , Floor 01  A                            ,            21.130  ,   Walls - 3rd Coat Finish        ,         79.13
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL01       , Floor 01  A                            ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         82.51
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL01       , Floor 01  A                            ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        125.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL01       , Floor 01  A                            ,            34.130  ,   Trim - 3rd Coat Finish         ,         21.84
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL02       , Floor 02 A                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         85.44
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL02       , Floor 02 A                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         77.75
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL02       , Floor 02 A                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         77.75
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL02       , Floor 02 A                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         82.51
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL02       , Floor 02 A                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        124.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL02       , Floor 02 A                             ,            34.130  ,   Trim - 3rd Coat Finish         ,         21.84
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL03       , Floor 03 A                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         86.62
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL03       , Floor 03 A                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         77.66
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL03       , Floor 03 A                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         77.66
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL03       , Floor 03 A                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         87.54
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL03       , Floor 03 A                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        121.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL03       , Floor 03 A                             ,            34.130  ,   Trim - 3rd Coat Finish         ,         21.84
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL04       , Floor 04 A                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.73
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL04       , Floor 04 A                             ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.93
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL04       , Floor 04 A                             ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.93
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL04       , Floor 04 A                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,           .48
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL04       , Floor 04 A                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          2.00
