
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         40.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,              ,                                        ,            80.120  ,   PWT Only Punchlilst            ,         40.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,              ,                                        ,            80.800  ,   Contingency - Original         ,         75.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         67.10
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         37.79
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         37.79
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            21.140  ,   Walls - 4th Coat Finish        ,          6.66
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         58.67
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         24.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            34.120  ,   Trim - 2nd Coat Finish         ,          1.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            60.200  ,   Sizing                         ,          7.05
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   FL11       , FLOOR 11                               ,            80.800  ,   Contingency - Original         ,        140.00
