
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         71.13
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         62.64
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         93.96
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         15.83
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         20.58
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            24.110  ,   CMU Walls - Blockfiller        ,        159.25
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          6.38
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,          6.38
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            26.110  ,   Floor Sealer                   ,         23.84
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         44.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         68.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            30.120  ,   Special Coating - Interm Coat  ,         70.06
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   BS 01      , Basement                               ,            30.130  ,   Special Coating - Finish Coat  ,         70.06
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   EXT        , EXT                                    ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         73.52
