
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        156.00
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   EX01       , Exterior Caulk                         ,            29.200  ,   Exterior Windows - Caulking    ,        187.33
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   EX01       , Exterior Caulk                         ,            80.800  ,   Contingency - Original         ,         26.56
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   EX02       , Exterior Paint                         ,            29.900  ,   Lintels                        ,         74.00
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   EX02       , Exterior Paint                         ,            40.300  ,   Steel Railings                 ,         17.20
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   PU01       , Public Space                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         10.24
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   PU01       , Public Space                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         10.24
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   PU01       , Public Space                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         10.24
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   PU01       , Public Space                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          7.00
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   PU01       , Public Space                           ,            34.110  ,   Trim - 1st Coat Prime          ,          5.12
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   PU01       , Public Space                           ,            50.800  ,   Stair Metal                    ,         36.84
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   UN01       , UNITS                                  ,            20.110  ,   Walls/DW Ceiling - Prime       ,        382.04
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   UN01       , UNITS                                  ,            21.120  ,   Walls - 2nd Coat Finish        ,        298.89
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   UN01       , UNITS                                  ,            21.130  ,   Walls - 3rd Coat Finish        ,        298.89
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   UN01       , UNITS                                  ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        272.17
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   UN01       , UNITS                                  ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        142.50
NL:      031.21.1  ,  Park 27                                            ,01, =    , 01, = ,   UN01       , UNITS                                  ,            50.800  ,   Stair Metal                    ,         52.00
