
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,        240.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        200.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,        214.39
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            21.120  ,   Walls - 2nd Coat Finish        ,        157.36
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            21.130  ,   Walls - 3rd Coat Finish        ,        161.61
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            21.140  ,   Walls - 4th Coat Finish        ,         94.41
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         78.31
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        214.81
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            24.110  ,   CMU Walls - Blockfiller        ,         85.80
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         50.47
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         79.46
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         85.84
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1A         , Auditorium                             ,            50.800  ,   Stair Metal                    ,        192.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1B         , LVL 1 Area B                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,        150.21
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1B         , LVL 1 Area B                           ,            21.120  ,   Walls - 2nd Coat Finish        ,        119.88
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1B         , LVL 1 Area B                           ,            21.130  ,   Walls - 3rd Coat Finish        ,        123.12
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1B         , LVL 1 Area B                           ,            21.140  ,   Walls - 4th Coat Finish        ,         71.93
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1B         , LVL 1 Area B                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         22.35
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1B         , LVL 1 Area B                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         13.36
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1B         , LVL 1 Area B                           ,            24.110  ,   CMU Walls - Blockfiller        ,         24.56
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1B         , LVL 1 Area B                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         14.44
