NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,              ,                                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,         65.85
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,              ,                                        ,            21.120  ,   Walls - 2nd Coat Finish        ,         58.89
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,              ,                                        ,            21.130  ,   Walls - 3rd Coat Finish        ,         53.91
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,              ,                                        ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          6.17
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,              ,                                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         23.00
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,          8.80
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,              ,                                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         13.22
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         13.00
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      011.23.1  ,  CUA Student Engagement Hub                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
