
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   10th       , 10th Floor                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         72.06
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   10th       , 10th Floor                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         58.95
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   10th       , 10th Floor                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         63.80
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   10th       , 10th Floor                             ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         36.39
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   10th       , 10th Floor                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         20.90
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   10th       , 10th Floor                             ,            29.600  ,   Interior Windows - Caulking    ,         41.15
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   10th       , 10th Floor                             ,            34.120  ,   Trim - 2nd Coat Finish         ,          3.66
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   10th       , 10th Floor                             ,            34.130  ,   Trim - 3rd Coat Finish         ,          3.66
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   10th       , 10th Floor                             ,            50.800  ,   Stair Metal                    ,         15.00
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   11th       , 11th Floor                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         77.49
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   11th       , 11th Floor                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         64.98
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   11th       , 11th Floor                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         70.32
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   11th       , 11th Floor                             ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         33.59
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   11th       , 11th Floor                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         22.80
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   11th       , 11th Floor                             ,            29.600  ,   Interior Windows - Caulking    ,         41.15
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   11th       , 11th Floor                             ,            34.120  ,   Trim - 2nd Coat Finish         ,          6.69
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   11th       , 11th Floor                             ,            34.130  ,   Trim - 3rd Coat Finish         ,          6.69
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   11th       , 11th Floor                             ,            50.800  ,   Stair Metal                    ,         15.00
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         53.71
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         46.67
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         50.51
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         17.56
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.20
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            29.600  ,   Interior Windows - Caulking    ,         28.78
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            34.120  ,   Trim - 2nd Coat Finish         ,          1.95
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            34.130  ,   Trim - 3rd Coat Finish         ,          1.95
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      001.23.1  ,  DCHA HQ TI Floors 9-11                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            80.110  ,   Touch Up Allowance             ,         48.00
