
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        160.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   AT01       , Attic                                  ,            50.500  ,   AESS Steel                     ,        300.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BA01       , Basement                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        144.99
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BA01       , Basement                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        130.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BA01       , Basement                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        130.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BA01       , Basement                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         59.96
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BA01       , Basement                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        101.97
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BA01       , Basement                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         25.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BA01       , Basement                               ,            30.130  ,   Special Coating - Finish Coat  ,         10.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   EX01       , Exterior                               ,            50.500  ,   AESS Steel                     ,         30.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   EX01       , Exterior                               ,            50.700  ,   Windows                        ,        400.00
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        106.91
NL:      042.20.1  ,  Old City Hall Renovation                           ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         69.80
