
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        200.00
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         20.13
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         16.91
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         17.84
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          7.03
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          2.12
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            26.110  ,   Floor Sealer                   ,         11.55
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          5.07
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            34.110  ,   Trim - 1st Coat Prime          ,          1.50
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            34.120  ,   Trim - 2nd Coat Finish         ,          1.50
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            50.800  ,   Stair Metal                    ,         10.00
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL01       , Floor 01                               ,            60.200  ,   Sizing                         ,           .51
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        108.79
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         92.86
