
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.400  ,   Exterior Steel                 ,         96.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.500  ,   Elastomeric Coating            ,         15.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   EX01       , Exterior                               ,            50.300  ,   Pipe Bollards/Corner Guards    ,          2.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   EX01       , Exterior                               ,            50.400  ,   Concrete Columns               ,         15.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         72.71
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         94.44
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         94.44
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          7.52
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         86.66
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            26.110  ,   Floor Sealer                   ,        115.37
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         33.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            50.200  ,   Red Sprinkler Pipe             ,         28.80
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            50.400  ,   Concrete Columns               ,         35.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        102.33
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        135.01
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        135.01
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          4.28
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        161.23
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            26.110  ,   Floor Sealer                   ,         84.42
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         43.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            50.200  ,   Red Sprinkler Pipe             ,         52.49
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            50.400  ,   Concrete Columns               ,         54.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         80.71
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        106.30
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        106.30
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          3.95
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          5.09
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL03       , Floor 03                               ,            26.110  ,   Floor Sealer                   ,           .32
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         43.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL03       , Floor 03                               ,            50.200  ,   Red Sprinkler Pipe             ,          2.17
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   FL03       , Floor 03                               ,            50.400  ,   Concrete Columns               ,         21.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   MEZZ       , Mezzanine                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         79.62
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   MEZZ       , Mezzanine                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        106.16
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   MEZZ       , Mezzanine                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        106.16
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   MEZZ       , Mezzanine                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        260.06
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   MEZZ       , Mezzanine                              ,            26.110  ,   Floor Sealer                   ,         94.19
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   MEZZ       , Mezzanine                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         22.00
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   MEZZ       , Mezzanine                              ,            50.200  ,   Red Sprinkler Pipe             ,         81.54
