
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         18.50
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         17.74
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         17.74
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          4.07
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        310.27
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            26.110  ,   Floor Sealer                   ,         23.73
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         36.00
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            40.400  ,   Exterior Steel                 ,         24.42
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            50.400  ,   Concrete Columns               ,         72.00
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            50.800  ,   Stair Metal                    ,         66.67
NL:      029.20.3  ,  Amtrak Track 22 Rehab                              ,01, =    , 01, = ,   FLO1       , Floor01                                ,            90.200  ,   Misc Adjustments               ,        134.50
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,        158.43
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         40.00
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   EXT        , EXT                                    ,            40.200  ,   Cornice/Rake Boards/Soffits    ,         67.40
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   EXT        , EXT                                    ,            40.400  ,   Exterior Steel                 ,        264.50
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   EXT        , EXT                                    ,            40.500  ,   Elastomeric Coating            ,         67.18
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   EXT        , EXT                                    ,            40.600  ,   Lintels                        ,         22.00
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   EXT        , EXT                                    ,            50.700  ,   Windows                        ,        123.20
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   FLO1       , EPOXY                                  ,            20.110  ,   Walls/DW Ceiling - Prime       ,        142.32
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   FLO1       , EPOXY                                  ,            21.120  ,   Walls - 2nd Coat Finish        ,        206.84
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   FLO1       , EPOXY                                  ,            21.130  ,   Walls - 3rd Coat Finish        ,        206.84
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   FLO1       , EPOXY                                  ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        870.18
NL:      046.20.1  ,  PEPCO Harvard Sub 013                              ,01, =    , 01, = ,   FLO1       , EPOXY                                  ,            24.110  ,   CMU Walls - Blockfiller        ,         78.22
