
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,         10.47
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        624.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         25.40
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         29.18
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.18
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          9.39
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            24.110  ,   CMU Walls - Blockfiller        ,        103.12
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         51.56
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         25.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            60.200  ,   Sizing                         ,          2.64
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         28.02
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         20.90
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         20.90
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         32.92
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         17.07
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         25.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            30.120  ,   Special Coating - Interm Coat  ,          3.76
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            30.130  ,   Special Coating - Finish Coat  ,          3.76
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            60.200  ,   Sizing                         ,          2.64
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         22.27
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         16.37
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         16.37
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         26.65
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         22.89
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
