
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   amenity    , amenity                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,          7.33
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   amenity    , amenity                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          7.00
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   amenity    , amenity                                ,            21.130  ,   Walls - 3rd Coat Finish        ,          7.00
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   amenity    , amenity                                ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          5.66
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   amenity    , amenity                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         20.00
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   amenity    , amenity                                ,            34.110  ,   Trim - 1st Coat Prime          ,         10.88
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   EXT        , EXT                                    ,            29.900  ,   Lintels                        ,         72.45
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   EXT        , EXT                                    ,            40.300  ,   Steel Railings                 ,         10.00
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   EXT        , EXT                                    ,            50.300  ,   Pipe Bollards/Corner Guards    ,          2.50
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   UNITS      , UNITS                                  ,            20.110  ,   Walls/DW Ceiling - Prime       ,         75.88
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   UNITS      , UNITS                                  ,            21.120  ,   Walls - 2nd Coat Finish        ,         73.66
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   UNITS      , UNITS                                  ,            21.130  ,   Walls - 3rd Coat Finish        ,         73.66
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   UNITS      , UNITS                                  ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         55.76
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   UNITS      , UNITS                                  ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         78.40
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   UNITS      , UNITS                                  ,            29.500  ,   Interior Windows               ,         47.33
NL:      080.21.3  ,  505 Jefferson Street                               ,01, =    , 01, = ,   UNITS      , UNITS                                  ,            80.800  ,   Contingency - Original         ,         70.00
