
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        160.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   EXT        , Exterior                               ,            40.300  ,   Steel Railings                 ,         13.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   EXT        , Exterior                               ,            40.400  ,   Exterior Steel                 ,         24.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,        169.19
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,        109.54
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,        109.54
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,        427.39
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            26.110  ,   Floor Sealer                   ,          1.30
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          6.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         26.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            34.120  ,   Trim - 2nd Coat Finish         ,         72.50
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            34.130  ,   Trim - 3rd Coat Finish         ,         72.50
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL01       , Floor01                                ,            50.700  ,   Windows                        ,        132.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL02       , Floor02                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         27.76
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL02       , Floor02                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         14.97
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL02       , Floor02                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         26.19
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL02       , Floor02                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         35.49
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL02       , Floor02                                ,            26.110  ,   Floor Sealer                   ,          4.20
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL02       , Floor02                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          1.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL02       , Floor02                                ,            28.130  ,   Frames Only - 1st/2nd Coat     ,          2.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   FL02       , Floor02                                ,            50.700  ,   Windows                        ,         48.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   ST01       , Stair01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.81
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   ST01       , Stair01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.55
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   ST01       , Stair01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,          2.72
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   ST01       , Stair01                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          7.00
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   ST01       , Stair01                                ,            26.110  ,   Floor Sealer                   ,          6.47
NL:      004.20.1  ,  Corpus Christi Church                              ,01, =    , 01, = ,   ST01       , Stair01                                ,            50.800  ,   Stair Metal                    ,         32.00
NL:      012.20.1  ,  DOD Project 555-12th St                            ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         46.40
NL:      012.20.1  ,  DOD Project 555-12th St                            ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         35.22
NL:      012.20.1  ,  DOD Project 555-12th St                            ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         61.64
NL:      012.20.1  ,  DOD Project 555-12th St                            ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         15.93
NL:      012.20.1  ,  DOD Project 555-12th St                            ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          8.71
NL:      012.20.1  ,  DOD Project 555-12th St                            ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         37.00
NL:      012.20.1  ,  DOD Project 555-12th St                            ,01, =    , 01, = ,   FL03       , Floor 03                               ,            60.200  ,   Sizing                         ,          1.12
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         40.00
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   EXT        , Exterior                               ,            40.300  ,   Steel Railings                 ,         48.00
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   EXT        , Exterior                               ,            40.400  ,   Exterior Steel                 ,         56.60
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         48.72
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         38.47
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         67.32
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         13.16
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        197.23
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            24.110  ,   CMU Walls - Blockfiller        ,         33.50
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          9.57
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         16.75
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.00
NL:      013.20.1  ,  Sterling Community Center Reno                     ,01, =    , 01, = ,   FL01       , Floor01                                ,            60.200  ,   Sizing                         ,          1.96
NL:      014.18.3  ,  Ft. Myer Barracks 246                              ,01, =    , 01, = ,              ,                                        ,            31.001  ,   Basement                       ,        278.00
NL:      014.18.3  ,  Ft. Myer Barracks 246                              ,01, =    , 01, = ,              ,                                        ,            32.001  ,   Stairs                         ,        250.00
NL:      014.18.3  ,  Ft. Myer Barracks 246                              ,01, =    , 01, = ,              ,                                        ,            34.001  ,   Exterior                       ,        292.00
NL:      014.18.3  ,  Ft. Myer Barracks 246                              ,01, =    , 01, = ,              ,                                        ,            36.001  ,   Floor 1                        ,        877.00
NL:      014.18.3  ,  Ft. Myer Barracks 246                              ,01, =    , 01, = ,              ,                                        ,            36.002  ,   Floor 2                        ,        898.00
NL:      014.18.3  ,  Ft. Myer Barracks 246                              ,01, =    , 01, = ,              ,                                        ,            36.003  ,   Floor 3                        ,        312.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        256.00
