
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   BS01       , Basement                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          2.13
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   BS01       , Basement                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        156.05
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   BS01       , Basement                               ,            24.110  ,   CMU Walls - Blockfiller        ,        161.30
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   BS01       , Basement                               ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,        159.17
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   BS01       , Basement                               ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,        159.17
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   BS01       , Basement                               ,            26.110  ,   Floor Sealer                   ,         24.69
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   BS01       , Basement                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         23.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1A       , Floor 01 Area A                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,        134.79
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1A       , Floor 01 Area A                        ,            21.120  ,   Walls - 2nd Coat Finish        ,        132.20
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1A       , Floor 01 Area A                        ,            21.130  ,   Walls - 3rd Coat Finish        ,        132.20
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1A       , Floor 01 Area A                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          5.17
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1A       , Floor 01 Area A                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         16.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1A       , Floor 01 Area A                        ,            26.110  ,   Floor Sealer                   ,           .85
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1A       , Floor 01 Area A                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         37.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1B       , Floor 01 Area B                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,        148.64
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1B       , Floor 01 Area B                        ,            21.120  ,   Walls - 2nd Coat Finish        ,        142.88
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1B       , Floor 01 Area B                        ,            21.130  ,   Walls - 3rd Coat Finish        ,        142.88
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1B       , Floor 01 Area B                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         11.53
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1B       , Floor 01 Area B                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         22.90
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1B       , Floor 01 Area B                        ,            26.110  ,   Floor Sealer                   ,         14.52
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1B       , Floor 01 Area B                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         37.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1C       , Floor 01 Area C                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,         55.42
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1C       , Floor 01 Area C                        ,            21.120  ,   Walls - 2nd Coat Finish        ,         49.53
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1C       , Floor 01 Area C                        ,            21.130  ,   Walls - 3rd Coat Finish        ,         49.53
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1C       , Floor 01 Area C                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         11.78
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1C       , Floor 01 Area C                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         13.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1C       , Floor 01 Area C                        ,            26.110  ,   Floor Sealer                   ,          2.26
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL1C       , Floor 01 Area C                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         37.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2A       , Floor 02 Area A                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,        106.02
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2A       , Floor 02 Area A                        ,            21.120  ,   Walls - 2nd Coat Finish        ,        105.11
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2A       , Floor 02 Area A                        ,            21.130  ,   Walls - 3rd Coat Finish        ,        105.11
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2A       , Floor 02 Area A                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          1.83
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2A       , Floor 02 Area A                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         28.43
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2A       , Floor 02 Area A                        ,            26.110  ,   Floor Sealer                   ,           .76
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2A       , Floor 02 Area A                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         20.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,        148.46
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            21.120  ,   Walls - 2nd Coat Finish        ,        144.26
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            21.130  ,   Walls - 3rd Coat Finish        ,        144.26
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          8.40
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        114.82
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            26.110  ,   Floor Sealer                   ,          1.01
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         20.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,         80.08
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            21.120  ,   Walls - 2nd Coat Finish        ,         79.12
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            21.130  ,   Walls - 3rd Coat Finish        ,         79.12
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          1.52
