NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 02      , FLOOR 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         84.41
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 02      , FLOOR 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        138.68
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 02      , FLOOR 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         19.28
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 02      , FLOOR 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         52.20
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 02      , FLOOR 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        116.00
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 03      , FLOOR 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         84.41
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 03      , FLOOR 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        138.68
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 03      , FLOOR 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         19.28
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 03      , FLOOR 03                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         52.20
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 03      , FLOOR 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        116.00
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 04      , FLOOR 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         84.41
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 04      , FLOOR 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        138.68
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 04      , FLOOR 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         19.28
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 04      , FLOOR 04                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         52.20
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 04      , FLOOR 04                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        116.00
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 05      , FLOOR 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         64.71
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 05      , FLOOR 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         99.00
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 05      , FLOOR 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         24.40
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 05      , FLOOR 05                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         37.00
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   FL 05      , FLOOR 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         84.00
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   Grnd       , Ground Level                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         55.22
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   Grnd       , Ground Level                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         78.78
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   Grnd       , Ground Level                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         26.16
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   Grnd       , Ground Level                           ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         32.10
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   Grnd       , Ground Level                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         68.00
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   MIS        , MIS                                    ,            24.110  ,   CMU Walls - Blockfiller        ,         57.89
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   MIS        , MIS                                    ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         14.47
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   MIS        , MIS                                    ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         14.47
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   MIS        , MIS                                    ,            50.400  ,   Concrete Columns               ,         12.00
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   MIS        , MIS                                    ,            50.800  ,   Stair Metal                    ,        128.00
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   P1         , P1 LEVEL                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         19.06
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   P1         , P1 LEVEL                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         14.75
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   P1         , P1 LEVEL                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         25.82
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   P1         , P1 LEVEL                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          5.54
NL:      036.19.3  ,  Ward 1 STFH                                        ,01, =    , 01, = ,   P1         , P1 LEVEL                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         20.00
