
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         42.81
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         22.28
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         38.99
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.140  ,   Walls - 4th Coat Finish        ,         17.55
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.150  ,   Walls - 5th Coat Finish        ,         17.55
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         12.29
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        225.44
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            30.110  ,   Special Coating - Primer       ,           .78
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            30.120  ,   Special Coating - Interm Coat  ,           .78
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            30.130  ,   Special Coating - Finish Coat  ,           .78
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            34.110  ,   Trim - 1st Coat Prime          ,         31.36
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            34.120  ,   Trim - 2nd Coat Finish         ,         31.36
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            34.130  ,   Trim - 3rd Coat Finish         ,         31.36
NL:      014.20.1  ,  WeWork 1875 K Street 3rd Floor                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            60.200  ,   Sizing                         ,          1.68

NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            34.120  ,   Trim - 2nd Coat Finish         ,           .62
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            34.130  ,   Trim - 3rd Coat Finish         ,           .62
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            60.200  ,   Sizing                         ,          8.18
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         40.23
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         38.82
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         38.82
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          3.48
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         12.00
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            34.110  ,   Trim - 1st Coat Prime          ,           .54
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            34.120  ,   Trim - 2nd Coat Finish         ,           .54
NL:      045.19.3  ,  Thurgood Marshall Space Realig                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            34.130  ,   Trim - 3rd Coat Finish         ,           .54

NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         32.00
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        124.53
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        119.14
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        119.14
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.140  ,   Walls - 4th Coat Finish        ,        119.14
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         10.79
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         10.16
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         93.00
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.120  ,   Doors Only - 1st/2nd Coat      ,         53.00
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         42.13
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         41.02
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         41.02
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.140  ,   Walls - 4th Coat Finish        ,         41.02
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          2.73
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         29.28
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            26.110  ,   Floor Sealer                   ,           .36
