
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,              ,                                        ,            80.120  ,   PWT Only Punchlilst            ,          1.00
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   EX01       , Exterior                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          2.81
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   EX01       , Exterior                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          2.81
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   EX01       , Exterior                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          2.81
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   EX01       , Exterior                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.20
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.400  ,   Exterior Steel                 ,         80.00
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   EX01       , Exterior                               ,            50.800  ,   Stair Metal                    ,         16.00
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL01       , Floor01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         50.25
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         45.84
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         45.84
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL01       , Floor01                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          4.40
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL01       , Floor01                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         50.29
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL01       , Floor01                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .16
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL01       , Floor01                                ,            60.200  ,   Sizing                         ,          1.20
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         50.88
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         48.41
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         48.41
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          2.47
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         65.15
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,           .09
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   FL02       , Floor 02                               ,            60.200  ,   Sizing                         ,          2.11
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   ST02       , Stair 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          2.81
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   ST02       , Stair 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          2.81
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   ST02       , Stair 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          2.81
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   ST02       , Stair 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.20
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   ST02       , Stair 02                               ,            50.800  ,   Stair Metal                    ,         16.00
NL:      016.19.3  ,  Southwest Library                                  ,01, =    , 01, = ,   TI01       , Ticket Work                            ,            95.110  ,   General Ticket Work            ,          1.00
