
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   1st        , 1st Floor                              ,            10.999  ,   Other Costs                    ,         16.00
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   1st        , 1st Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        164.53
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   1st        , 1st Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        112.16
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   1st        , 1st Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         49.94
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   1st        , 1st Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        194.68
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            10.999  ,   Other Costs                    ,         16.00
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        136.90
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         95.58
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         38.35
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   2nd        , 2nd Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        185.91
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   3rd        , 3rd Floor                              ,            10.999  ,   Other Costs                    ,         16.00
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   3rd        , 3rd Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        136.90
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   3rd        , 3rd Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         95.58
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   3rd        , 3rd Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         38.35
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   3rd        , 3rd Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        185.91
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   LL         , Lower Level                            ,            10.999  ,   Other Costs                    ,         16.00
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   LL         , Lower Level                            ,            20.110  ,   Walls/DW Ceiling - Prime       ,        123.91
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   LL         , Lower Level                            ,            21.120  ,   Walls - 2nd Coat Finish        ,         81.34
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   LL         , Lower Level                            ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         42.08
NL:      054.22.3  ,  Rolark Shelter Repairs                             ,01, =    , 01, = ,   LL         , Lower Level                            ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         94.71
