
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,         19.14
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        400.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.200  ,   Cornice/Rake Boards/Soffits    ,        199.60
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.400  ,   Exterior Steel                 ,        105.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.600  ,   Lintels                        ,        135.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   EX01       , Exterior                               ,            50.400  ,   Concrete Columns               ,         20.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        329.84
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        290.21
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        290.21
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,        110.94
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        166.93
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL01       , Floor 01                               ,            26.110  ,   Floor Sealer                   ,          2.22
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         99.67
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        303.83
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        232.60
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        232.60
