NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,   ,Punch List/Allowance-TouchUp/C.CleanUp/Equipment ,            80.120  ,   PWT Only/Punchlilst            ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,   ,Punch List/Allowance-TouchUp/C.CleanUp/Equipment ,            80.110  ,  Touch Up hours-Allowance     ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,   ,Punch List/Allowance-TouchUp/C.CleanUp/Equipment ,              80.820       , Composite Clean Up        ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,   ,Punch List/Allowance-TouchUp/C.CleanUp/Equipment ,              40.600       , Lintels         ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,   ,Punch List/Allowance-TouchUp/C.CleanUp/Equipment ,              80.120  ,Equipment:Delivers,Pick Ups,Repair,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01 , = ,TI01,Ticket work ,           95.110           , Ticket work             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1001           , CO#1             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1002           , CO#2             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1003           , CO#3             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1004           , CO#4             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1005           , CO#5             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1006           , CO#6             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1007           , CO#7             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1008           , CO#8             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1009           , CO#9             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1010           , CO#10             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1011           , CO#11             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1012           , CO#12             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1013           , CO#13             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1014           , CO#14             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1015           , CO#15             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1016           , CO#16             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1017           , CO#17             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1018           , CO#18             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1019           , CO#19             ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.1020           , CO#20            ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, =, 993,z.No Show up/No Worked , VACNOSHOW ,  z.No show up/No worked ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, =, 994,Badges ,10170,Gov.req. Badges etc. ,0.1
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01 , = ,995,Supervision/Walk  ,      10.340  ,   Supervision/Walk           ,0.1
