NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = , G00      , Garage                               ,            24.110  ,   CMU Walls - Block Filler       ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = , G00      , Garage                               ,            24.120  ,   CMU Walls - 2nd.coat Finish       ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = , G00      , Garage                               ,            24.130  ,   CMU Walls - 3rd. coat Finish       ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = , EXT      , Exterior                            ,            40.400  ,   Exterior                                          ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            26.110  ,   Floor Sealer                   ,           0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            50.600  ,   Caulking Windows & Doors       ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   BS01   , Basement                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   BS01   , Basement                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   BS01   , Basement                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   BS01   , Basement                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   BS01   , Basement                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   BS01   , Basement                                ,            26.110  ,   Floor Sealer                   ,           0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   BS01   , Basement                                ,            50.600  ,   Caulking Windows & Doors       ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,   0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            26.110  ,   Floor Sealer                   ,           0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            50.600  ,   Caulking Windows & Doors       ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL03      , Floor 03                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         0
