NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            26.110  ,   Floor Sealer                   ,           0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            50.600  ,   Caulking Windows & Doors       ,          0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01 , = , , Common Items TouchUp hrs./Punch List  ,            80.120  ,   PWT Only/Punchlilst            ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01 , = ,  ,Common Items TouchUp hrs./Punch List  ,            80.110  ,   Touch up hrs./allowance  ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = , TI01,Ticket work ,           95.110           , Ticket work             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01 , = ,--- ,z.No Show up/No Worked , VACNOSHOW ,  z.No show up/No worked ,0
