NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL03      , Floor 03                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL03      , Floor 03                                ,            21.120  ,   Walls - 2nd Coat Finish        ,        0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL03      , Floor 03                                ,            21.130  ,   Walls - 3rd Coat Finish        ,        0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL03      , Floor 03                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,   0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL04      , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,     0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL04      , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL04      , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL04      , Floor 04                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  , 0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL05      , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,      0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL05      , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,     0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL05      , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,       0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL05      , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  , 0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL06      , Floor 06                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,      0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL06      , Floor 06                               ,            21.120  ,   Walls - 2nd Coat Finish        ,      0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL06      , Floor 06                               ,            21.130  ,   Walls - 3rd Coat Finish        ,      0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL06      , Floor 06                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  , 0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL07      , Floor 07                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,      0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL07      , Floor 07                               ,            21.120  ,   Walls - 2nd Coat Finish        ,      0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL07      , Floor 07                               ,            21.130  ,   Walls - 3rd Coat Finish        ,      0
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL07      , Floor 07                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  , 0
