
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,              ,                                        ,            10.210  ,   Mobilizaion                    ,         24.00
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   GF         , Ground Floor                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         50.34
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   GF         , Ground Floor                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         45.14
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   GF         , Ground Floor                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         42.70
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   GF         , Ground Floor                           ,            21.140  ,   Walls - 4th Coat Finish        ,          5.36
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   GF         , Ground Floor                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          9.03
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   GF         , Ground Floor                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         31.28
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   GF         , Ground Floor                           ,            30.120  ,   Special Coating - Interm Coat  ,          2.23
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   GF         , Ground Floor                           ,            30.130  ,   Special Coating - Finish Coat  ,         11.98
NL:      019.22.1  ,  NW Hospital Breast Cancer Ctr                      ,01, =    , 01, = ,   GF         , Ground Floor                           ,            80.800  ,   Contingency - Original         ,        100.95
