
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,        153.33
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,              ,                                        ,            50.200  ,   Red Sprinkler Pipe             ,        100.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        356.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,              ,                                        ,            80.120  ,   PWT Only Punchlilst            ,        334.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,              ,                                        ,            80.800  ,   Contingency - Original         ,        170.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Ext        , Exterior                               ,            24.110  ,   CMU Walls - Blockfiller        ,          9.33
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Ext        , Exterior                               ,            29.900  ,   Lintels                        ,         55.65
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Ext        , Exterior                               ,            80.800  ,   Contingency - Original         ,         60.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Fl01       , 1st Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        317.32
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Fl01       , 1st Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        275.99
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Fl01       , 1st Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        256.27
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Fl01       , 1st Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        293.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Fl01       , 1st Floor                              ,            24.110  ,   CMU Walls - Blockfiller        ,          7.57
