
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        120.00
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A1F1       , Cardiac                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,        162.92
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A1F1       , Cardiac                                ,            21.120  ,   Walls - 2nd Coat Finish        ,        145.54
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A1F1       , Cardiac                                ,            21.130  ,   Walls - 3rd Coat Finish        ,        145.54
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A1F1       , Cardiac                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         25.73
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A1F1       , Cardiac                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          5.30
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A1F1       , Cardiac                                ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         55.33
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A3F1       , Perio PACU                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         80.06
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A3F1       , Perio PACU                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         70.80
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A3F1       , Perio PACU                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         70.80
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A3F1       , Perio PACU                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         12.96
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A3F1       , Perio PACU                             ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         27.33
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A3F1       , Perio PACU                             ,            60.200  ,   Sizing                         ,          1.50
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A4F1       , Perio GOR                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         62.17
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A4F1       , Perio GOR                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         51.43
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A4F1       , Perio GOR                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         51.43
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A4F1       , Perio GOR                              ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         15.04
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A4F1       , Perio GOR                              ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         26.67
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A5F1       , Perio GOR Support                      ,            20.110  ,   Walls/DW Ceiling - Prime       ,         67.24
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A5F1       , Perio GOR Support                      ,            21.120  ,   Walls - 2nd Coat Finish        ,         65.67
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A5F1       , Perio GOR Support                      ,            21.130  ,   Walls - 3rd Coat Finish        ,         65.67
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A5F1       , Perio GOR Support                      ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          1.20
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A5F1       , Perio GOR Support                      ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A5F1       , Perio GOR Support                      ,            26.110  ,   Floor Sealer                   ,          1.00
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A5F1       , Perio GOR Support                      ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         20.00
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A5F1       , Perio GOR Support                      ,            50.600  ,   Caulking Windows & Doors       ,          1.00
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A6F1       , Perio Prep / REC                       ,            20.110  ,   Walls/DW Ceiling - Prime       ,        104.97
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A6F1       , Perio Prep / REC                       ,            21.120  ,   Walls - 2nd Coat Finish        ,         97.15
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A6F1       , Perio Prep / REC                       ,            21.130  ,   Walls - 3rd Coat Finish        ,         97.15
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A6F1       , Perio Prep / REC                       ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         14.35
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A6F1       , Perio Prep / REC                       ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A6F1       , Perio Prep / REC                       ,            26.110  ,   Floor Sealer                   ,          1.00
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A6F1       , Perio Prep / REC                       ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         50.00
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A6F1       , Perio Prep / REC                       ,            50.600  ,   Caulking Windows & Doors       ,          1.00
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   A6F1       , Perio Prep / REC                       ,            60.200  ,   Sizing                         ,          1.69
NL:      050.19.1  ,  UMSJMC Peri-Op Svc                                 ,01, =    , 01, = ,   TI 01      , Ticket Work                            ,            95.110  ,   General Ticket Work            ,          0
