
NL:      054.19.3  ,  World War I Memorial                               ,01, =    , 01, = ,   FLO1       , Floor01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         26.06
NL:      054.19.3  ,  World War I Memorial                               ,01, =    , 01, = ,   FLO1       , Floor01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         16.43
NL:      054.19.3  ,  World War I Memorial                               ,01, =    , 01, = ,   FLO1       , Floor01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         16.43
NL:      054.19.3  ,  World War I Memorial                               ,01, =    , 01, = ,   FLO1       , Floor01                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         22.01
NL:      054.19.3  ,  World War I Memorial                               ,01, =    , 01, = ,   FLO1       , Floor01                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.00
NL:      054.19.3  ,  World War I Memorial                               ,01, =    , 01, = ,   FLO1       , Floor01                                ,            40.400  ,   Exterior Steel                 ,         26.00
NL:      054.19.3  ,  World War I Memorial                               ,01, =    , 01, = ,   FLO1       , Floor01                                ,            50.800  ,   Stair Metal                    ,          4.00
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         90.26
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         52.80
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         52.80
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          5.90
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         57.71
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         62.00
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            34.120  ,   Trim - 2nd Coat Finish         ,          5.60
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            34.130  ,   Trim - 3rd Coat Finish         ,          8.40
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            50.900  ,   Elevator Door & Frame          ,         28.00
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            60.200  ,   Sizing                         ,          8.69
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,        101.48
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         82.23
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         82.23
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          5.94
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         29.60
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         54.00
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            34.120  ,   Trim - 2nd Coat Finish         ,          5.60
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            34.130  ,   Trim - 3rd Coat Finish         ,          8.40
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            50.900  ,   Elevator Door & Frame          ,         28.00
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            60.200  ,   Sizing                         ,          8.58
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   MISC       , Miscellaneous                          ,            50.600  ,   Caulking Windows & Doors       ,         32.00
NL:      072.20.1  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   MISC       , Miscellaneous                          ,            50.800  ,   Stair Metal                    ,         16.00
