NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A3,Exterior,90.100,Miscellaneous Various not in others, 51.27 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A4,Sealer and Epoxy Floors,26.110,Floor Sealer, 10.02 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A4,Sealer and Epoxy Floors,26.130,Apply Epoxy, 1.79 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,20.110,DW Ceiling/Walls Prime Coat, 72.89 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,21.120,DW Walls/Columns 1st. Finish Coat, 80.06 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,21.130,DW Walls/Columns 2nd.Finish Coat, 114.36 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,22.120,DW Ceilings 1st.and 2nd.Finish Coat, 7.41 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,22.125,Exp.Celing 1st. And 2nd. Dryfall coat, 62.48 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,22.126,Exp.Ceiling Protection, 26.03 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,24.110,Block Fill 1st.Coat CMU Walls, 94.80 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,24.120,1st. Finish Coat CMU Walls, 27.09 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,24.130,2nd.Finish Coat CMU Walls, 47.40 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,28.100,Prep. Trim/D.Frames/Doors, 51.49 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,28.110,1st.and 2nd.Finish Coat Trim/Frames/Doors, 51.49 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A5,Level-0,90.100,Miscellaneous Various not in others, 44.59 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A6,Level-1,20.110,DW Ceiling/Walls Prime Coat, 40.27 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A6,Level-1,21.120,DW Walls/Columns 1st. Finish Coat, 43.07 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A6,Level-1,21.130,DW Walls/Columns 2nd.Finish Coat, 61.53 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A6,Level-1,22.120,DW Ceilings 1st.and 2nd.Finish Coat, 5.24 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A6,Level-1,28.100,Prep. Trim/D.Frames/Doors, 36.44 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A6,Level-1,28.110,1st.and 2nd.Finish Coat Trim/Frames/Doors, 36.44 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A6,Level-1,90.100,Miscellaneous Various not in others, 31.55 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A7,Level-2,20.110,DW Ceiling/Walls Prime Coat, 32.97 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A7,Level-2,21.120,DW Walls/Columns 1st. Finish Coat, 35.26 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A7,Level-2,21.130,DW Walls/Columns 2nd.Finish Coat, 50.38 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A7,Level-2,22.120,DW Ceilings 1st.and 2nd.Finish Coat, 4.30 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A7,Level-2,28.100,Prep. Trim/D.Frames/Doors, 29.83 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A7,Level-2,28.110,1st.and 2nd.Finish Coat Trim/Frames/Doors, 29.83 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A7,Level-2,90.100,Miscellaneous Various not in others, 25.83 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A10,Stairs,20.110,DW Ceiling/Walls Prime Coat, 17.70 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A10,Stairs,21.120,DW Walls/Columns 1st. Finish Coat, 21.24 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A10,Stairs,21.130,DW Walls/Columns 2nd.Finish Coat, 30.34 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A10,Stairs,50.801,Stair Prep Spot Prime, 25.28 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A10,Stairs,50.802,Stair 1st.Finish Coat, 25.28 
NL:070.21.3,Howard CC- MAC Math Athetic Complex,01, =    ,01,Building A,A10,Stairs,50.803,Stair 2nd.Finish Coat, 18.96 
,,,,,,,,,,
