
NL:      000.21.0  ,  Warehouse Time                                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      000.21.0  ,  Warehouse Time                                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      000.21.0  ,  Warehouse Time                                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      000.21.0  ,  Warehouse Time                                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      022.21.1  ,  KIPP DC Recreation Center FHC                      ,01, =    , 01, = ,   BASE       , Base                                   ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      022.21.1  ,  KIPP DC Recreation Center FHC                      ,01, =    , 01, = ,   BASE       , Base                                   ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      022.21.1  ,  KIPP DC Recreation Center FHC                      ,01, =    , 01, = ,   BASE       , Base                                   ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      022.21.1  ,  KIPP DC Recreation Center FHC                      ,01, =    , 01, = ,   BASE       , Base                                   ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        200.00
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2E       , Area N2 East                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         93.33
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2E       , Area N2 East                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         88.11
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2E       , Area N2 East                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         88.11
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2E       , Area N2 East                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         13.91
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2E       , Area N2 East                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         31.85
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2E       , Area N2 East                           ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         20.57
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2W       , Area N2 West                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         62.37
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2W       , Area N2 West                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         58.55
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2W       , Area N2 West                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         58.55
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2W       , Area N2 West                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         10.18
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   AN2W       , Area N2 West                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         21.38
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   ARN1       , Area N1                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         51.66
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   ARN1       , Area N1                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         50.83
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   ARN1       , Area N1                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         50.83
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   ARN1       , Area N1                                ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          2.21
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   ARN1       , Area N1                                ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         11.43
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   CE01       , Cellar                                 ,            20.110  ,   Walls/DW Ceiling - Prime       ,         14.39
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   CE01       , Cellar                                 ,            21.120  ,   Walls - 2nd Coat Finish        ,         13.95
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   CE01       , Cellar                                 ,            21.130  ,   Walls - 3rd Coat Finish        ,         13.95
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   CE01       , Cellar                                 ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          1.17
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   CE01       , Cellar                                 ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         44.19
NL:      024.21.1  ,  Q101 Street                                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      024.21.1  ,  Q101 Street                                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
