NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.002           , CO#2             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.003           , CO#3             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.004           , CO#4             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.005           , CO#5             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.006           , CO#6             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.007           , CO#7             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.008           , CO#8             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.009           , CO#9             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.010           , CO#10             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.011           , CO#11             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.012           , CO#12             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.013           , CO#13             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.014           , CO#14             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.015           , CO#15             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.016           , CO#16             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.017           , CO#17             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.018           , CO#18             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.019           , CO#19             ,0
NL:      000.00.0  ,  For standard cost code                     ,01, =    ,01, = ,992  ,Change Orders  ,           17.020           , CO#20            ,0
