NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,          67.06
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          45.81
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         45.81
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         11.95
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          10.09
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                                ,            28.110  ,   Doors/Frames 1st/2nd Finish  ,          41.33
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL01      , Floor 01                               ,            60.500  ,   Wall Covering                    ,           1
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   997      , Stairs                                 ,            50.800  ,   Stair Metal                ,          24

NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         67.06
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         52.26
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         16.66
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,   16.66
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        6.62
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                                ,            28.110  ,   Doors/Frames 1st/2nd Finish  ,          40
NL:      000.00.0  ,  For standard cost code                     ,01, =    , 01, = ,   FL02      , Floor 02                               ,            60.500  ,   Wall Covering                    ,           1
