
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,         94.67
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,              ,                                        ,            26.130  ,   Floor Epoxy                    ,         13.98
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        695.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Ext        , Exterior                               ,            29.900  ,   Lintels                        ,         32.24
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Ext        , Exterior                               ,            80.800  ,   Contingency - Original         ,         80.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Fl01       , 1st Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        124.99
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Fl01       , 1st Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        103.32
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Fl01       , 1st Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         95.94
