

NL:000 !24  ! 0  ! Warehouse Tracking 2024 (000.24.0)                                         !                                                                            !                                         !                                       !     !              !  !   !

NL:001 !24  ! 1  ! Bridge District Parcel 3 & 4 (001.24.1)                                    ! 632 Howard Rd SE                                                           !                                         !Washington                             !DC   !20020         !  !   !

NL:002 !24  ! 2  ! We Work 9th Floor (002.24.2)                                               ! 7272 Wisconsin Ave.                                                        !                                         !Bethesda                               !MD   !              !  !   !

NL:003 !24  ! 1  ! 60 Florida Ave NE (003.24.1)                                               ! 60 Florida Ave NE                                                          !                                         !Washington                             !DC   !20002         !  !   !

NL:004 !24  ! 1  ! DCIA Reunion Square (004.24.1)                                             ! 2201 Shannon Place NE                                                      !                                         !Washington                             !DC   !20020         !  !   !

NL:005 !24  ! 1  ! Hillwood Estate Visitor Center (005.24.1)                                  ! 4155 Linnean Ave NW                                                        !                                         !Washington                             !DC   !20008         !  !   !

NL:006 !24  ! 1  ! Parcel H Navy Yard (006.24.1)                                              ! 1331 Yards Place SE                                                        !                                         !Washington                             !DC   !20003         !  !   !

NL:007 !24  ! 3  ! Deal Middle School (007.24.3)                                              ! 3815 Fort Drive NW                                                         !                                         !Washington                             !DC   !20016         !  !   !

NL:008 !24  ! 3  ! Waterfront Station II (008.24.3)                                           ! 1101 4th St SW                                                             !                                         !Washington                             !DC   !20024         !  !   !

NL:009 !24  ! 3  ! Northwest One Phase 2 (009.24.3)                                           ! 33 K St, NW                                                                !                                         !Washington                             !DC   !20001         !  !   !
