
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,              ,                                        ,            80.120  ,   PWT Only Punchlilst            ,        240.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   EX01       , Exterior                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         10.26
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   EX01       , Exterior                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   EX01       , Exterior                               ,            29.900  ,   Lintels                        ,        185.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.300  ,   Steel Railings                 ,        129.80
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   EX01       , Exterior                               ,            50.400  ,   Concrete Columns               ,         12.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL00       , Ground Floor                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         52.93
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL00       , Ground Floor                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         36.89
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL00       , Ground Floor                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         36.89
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL00       , Ground Floor                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         59.96
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL00       , Ground Floor                           ,            24.110  ,   CMU Walls - Blockfiller        ,         15.80
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL00       , Ground Floor                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         13.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL00       , Ground Floor                           ,            34.110  ,   Trim - 1st Coat Prime          ,         13.08
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        200.64
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        152.38
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        152.38
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        110.20
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL01       , Floor 01                               ,            24.110  ,   CMU Walls - Blockfiller        ,         25.55
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         30.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL01       , Floor 01                               ,            34.110  ,   Trim - 1st Coat Prime          ,        160.29
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL01       , Floor 01                               ,            50.400  ,   Concrete Columns               ,          4.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        261.60
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         29.17
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        107.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL02       , Floor 02                               ,            34.110  ,   Trim - 1st Coat Prime          ,        225.81
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL02       , Floor 02                               ,            50.600  ,   Caulking Windows & Doors       ,         53.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL02       , Floor 02                               ,            50.700  ,   Windows                        ,         79.50
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        261.60
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         29.17
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        432.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL03       , Floor 03                               ,            34.110  ,   Trim - 1st Coat Prime          ,        225.81
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL03       , Floor 03                               ,            50.600  ,   Caulking Windows & Doors       ,         36.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL03       , Floor 03                               ,            50.700  ,   Windows                        ,         54.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL04       , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        261.60
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL04       , Floor 04                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         29.17
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL04       , Floor 04                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        216.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL04       , Floor 04                               ,            34.110  ,   Trim - 1st Coat Prime          ,        225.81
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL04       , Floor 04                               ,            50.600  ,   Caulking Windows & Doors       ,         36.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL04       , Floor 04                               ,            50.700  ,   Windows                        ,         54.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL05       , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        251.62
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         29.17
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL05       , Floor 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        216.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL05       , Floor 05                               ,            34.110  ,   Trim - 1st Coat Prime          ,        196.56
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL05       , Floor 05                               ,            50.600  ,   Caulking Windows & Doors       ,         36.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL05       , Floor 05                               ,            50.700  ,   Windows                        ,         54.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL06       , Floor 06                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        251.62
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        190.33

NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         29.17
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL06       , Floor 06                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        216.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL06       , Floor 06                               ,            34.110  ,   Trim - 1st Coat Prime          ,        225.81
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL06       , Floor 06                               ,            50.600  ,   Caulking Windows & Doors       ,         36.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL06       , Floor 06                               ,            50.700  ,   Windows                        ,         54.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL07       , Floor 07                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        251.62
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        190.33
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL07       , Floor 07                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         29.17
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL07       , Floor 07                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        216.08
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL07       , Floor 07                               ,            34.110  ,   Trim - 1st Coat Prime          ,        225.81
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL07       , Floor 07                               ,            50.600  ,   Caulking Windows & Doors       ,         36.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   FL07       , Floor 07                               ,            50.700  ,   Windows                        ,         54.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   GA01       , Garage                                 ,            20.110  ,   Walls/DW Ceiling - Prime       ,         10.97
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   GA01       , Garage                                 ,            21.120  ,   Walls - 2nd Coat Finish        ,         30.34
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   GA01       , Garage                                 ,            21.130  ,   Walls - 3rd Coat Finish        ,         30.34
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   GA01       , Garage                                 ,            24.110  ,   CMU Walls - Blockfiller        ,         77.48
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   GA01       , Garage                                 ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   GA01       , Garage                                 ,            50.300  ,   Pipe Bollards/Corner Guards    ,         28.80
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   GA01       , Garage                                 ,            50.400  ,   Concrete Columns               ,         21.50
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            34.110  ,   Trim - 1st Coat Prime          ,         29.76
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            40.300  ,   Steel Railings                 ,          8.20
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   ST01       , Stairs                                 ,            21.120  ,   Walls - 2nd Coat Finish        ,         24.03
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   ST01       , Stairs                                 ,            21.130  ,   Walls - 3rd Coat Finish        ,         24.03
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   ST01       , Stairs                                 ,            24.110  ,   CMU Walls - Blockfiller        ,        128.15
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   ST01       , Stairs                                 ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         17.00
NL:      021.21.3  ,  Lake Anne House                                    ,01, =    , 01, = ,   ST01       , Stairs                                 ,            50.800  ,   Stair Metal                    ,         97.14
