
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        185.00
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   EXTE       , Exterior                               ,            40.400  ,   Exterior Steel                 ,         80.00
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        121.78
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         73.57
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         73.57
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         83.76
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         10.00
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         30.67
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         84.34
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         66.95
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         66.95
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         10.00
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         18.07
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            26.110  ,   Floor Sealer                   ,          6.24
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.67
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         50.33
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         38.77
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         38.77
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          9.51
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         18.07
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            26.110  ,   Floor Sealer                   ,          6.24
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.67
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         50.33
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         38.77
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         38.77
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          9.51
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         18.07
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            26.110  ,   Floor Sealer                   ,          6.24
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.67
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         50.33
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         38.77
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         38.77
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          9.51
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         18.07
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            26.110  ,   Floor Sealer                   ,          6.24
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.67
