
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         40.00
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL01       , Floor01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         22.86
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         25.71
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         25.71
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL01       , Floor01                                ,            34.130  ,   Trim - 3rd Coat Finish         ,          8.85
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL02       , Walls 3rd                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         24.18
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL02       , Walls 3rd                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         27.21
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL02       , Walls 3rd                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         27.21
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL02       , Walls 3rd                              ,            34.130  ,   Trim - 3rd Coat Finish         ,         11.80
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         79.26
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         89.16
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         89.16
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.120  ,   Doors Only - 1st/2nd Coat      ,          2.00
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            34.130  ,   Trim - 3rd Coat Finish         ,         25.65
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL04       , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         95.58
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        107.53
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        107.53
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL04       , Floor 04                               ,            34.130  ,   Trim - 3rd Coat Finish         ,         23.55
