
NL:      002.21.1  ,  Museum Place                                       ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      002.21.1  ,  Museum Place                                       ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      002.21.1  ,  Museum Place                                       ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      002.21.1  ,  Museum Place                                       ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      006.21.2  ,  NVCC Loudoun Reynolds                              ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      006.21.2  ,  NVCC Loudoun Reynolds                              ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      006.21.2  ,  NVCC Loudoun Reynolds                              ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      006.21.2  ,  NVCC Loudoun Reynolds                              ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         29.65
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         26.73
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         26.73
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         11.71
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            26.110  ,   Floor Sealer                   ,          1.25
NL:      008.21.1  ,  Kaiser Friendship Heights                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          6.50
