
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01A      , BASEMENT A                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         16.20
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01A      , BASEMENT A                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         77.64
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01A      , BASEMENT A                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         77.64
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01A      , BASEMENT A                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         19.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01A      , BASEMENT A                             ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         77.28
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01A      , BASEMENT A                             ,            24.110  ,   CMU Walls - Blockfiller        ,        237.48
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01B      , BASEMENT B                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         24.66
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01B      , BASEMENT B                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         21.12
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01B      , BASEMENT B                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         21.12
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01B      , BASEMENT B                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         18.82
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01B      , BASEMENT B                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01P      , Basement Podium                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,         42.64
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01P      , Basement Podium                        ,            21.120  ,   Walls - 2nd Coat Finish        ,         38.32
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01P      , Basement Podium                        ,            21.130  ,   Walls - 3rd Coat Finish        ,         38.32
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01P      , Basement Podium                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         27.22
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01P      , Basement Podium                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          8.86
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   BA01P      , Basement Podium                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         72.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   EX01       , Exterior                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         59.46
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   EX01       , Exterior                               ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         29.52
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.300  ,   Steel Railings                 ,         63.48
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.400  ,   Exterior Steel                 ,        106.94
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.600  ,   Lintels                        ,        105.82
