
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        100.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,              ,                                        ,            80.120  ,   PWT Only Punchlilst            ,        358.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   EX01       , EXTERIOR                               ,            40.600  ,   Lintels                        ,        440.50
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   EX01       , EXTERIOR                               ,            40.700  ,   Siding                         ,        372.63
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   EX01       , EXTERIOR                               ,            50.700  ,   Windows                        ,         50.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   EX01       , EXTERIOR                               ,            80.800  ,   Contingency - Original         ,        227.50
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        113.93
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        142.08
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         49.10
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         40.77
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        180.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL01       , Floor 01                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL01       , Floor 01                               ,            80.800  ,   Contingency - Original         ,         77.94
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        147.02
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        200.61
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         28.97
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         71.62
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        312.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL02       , Floor 02                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL02       , Floor 02                               ,            80.800  ,   Contingency - Original         ,        119.88
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        165.68
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        228.54
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         28.28
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         82.81
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        360.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            80.800  ,   Contingency - Original         ,        166.82
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        176.39
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        243.87
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.31
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         88.44
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        384.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            80.800  ,   Contingency - Original         ,        194.70
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        186.07
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        258.17
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.31
