NL: 774.22.1,Smilow,01,=,01,=,BASE,zz. do not use Base Job,80.800,OT Allowance,64.00
NL: 774.22.1,Smilow,01,=,01,=,B,Basement,20.110,Walls Spot Prime,23.38
NL: 774.22.1,Smilow,01,=,01,=,B,Basement,21.120,Wall 1 Coat of Finish,29.85
NL: 774.22.1,Smilow,01,=,01,=,B,Basement,80.810,Cover-up/Move Furniture,9.50
NL: 774.22.1,Smilow,01,=,01,=,FL01,Floor 01,20.110,Walls Spot Prime,151.85
NL: 774.22.1,Smilow,01,=,01,=,FL01,Floor 01,21.120,Wall 1 Coat of Finish,193.85
NL: 774.22.1,Smilow,01,=,01,=,FL01,Floor 01,80.810,Cover-up/Move Furniture,72.83
NL: 774.22.1,Smilow,01,=,01,=,FL02,Floor 02,20.110,Walls Spot Prime,93.65
NL: 774.22.1,Smilow,01,=,01,=,FL02,Floor 02,21.120,Wall 1 Coat of Finish,119.55
NL: 774.22.1,Smilow,01,=,01,=,FL02,Floor 02,80.810,Cover-up/Move Furniture,39.58
NL: 774.22.1,Smilow,01,=,01,=,FL03,Floor 03,20.110,Walls Spot Prime,90.82
NL: 774.22.1,Smilow,01,=,01,=,FL03,Floor 03,21.120,Wall 1 Coat of Finish,115.94
NL: 774.22.1,Smilow,01,=,01,=,FL03,Floor 03,80.810,Cover-up/Move Furniture,34.83
